ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600016.SH,民生银行,银行,2021-06-30,19308046.5594,5.9582,0.3816,13.22,100.0,金龟,1930.8
601288.SH,农业银行,银行,2021-06-30,106044859.2635,4.8734,0.5003,12.1123,100.0,金龟,10604.49
002146.SZ,荣盛发展,全国地产,2021-06-30,2452364.412,3.2623,0.5068,8.5106,99.8,金龟,245.24
601988.SH,中国银行,银行,2021-06-30,90671439.7022,4.6671,0.5175,12.5974,99.5,金龟,9067.14
600376.SH,首开股份,区域地产,2021-06-30,1444556.5355,5.3941,0.5492,7.1429,92.8,金龟,144.46
600170.SH,上海建工,建筑工程,2021-06-30,2457613.7729,7.298,0.6601,10.3047,90.9,金龟,245.76
600606.SH,绿地控股,全国地产,2021-06-30,6631644.1398,4.3436,0.7207,7.3394,89.0,金龟,663.16
600064.SH,南京高科,园区开发,2021-06-30,1148203.949,5.8023,0.8711,10.226,88.9,银龟,114.82
000778.SZ,新兴铸管,钢加工,2021-06-30,1484607.4255,7.8716,0.6779,8.0589,88.4,金龟,148.46
600548.SH,深高速,路桥,2021-06-30,1901631.7243,6.9711,0.8414,10.8945,86.5,银龟,190.16
601000.SH,唐山港,港口,2021-06-30,1428148.796,7.5159,0.8053,8.2988,85.8,银龟,142.81
600153.SH,建发股份,仓储物流,2021-06-30,2319477.5493,6.0835,0.6244,6.1117,83.4,银龟,231.95
600383.SH,金地集团,全国地产,2021-06-30,4622933.5777,4.7806,0.7973,6.543,81.4,银龟,462.29
002110.SZ,三钢闽光,普钢,2021-06-30,1652362.3844,5.5523,0.8193,6.6153,81.2,银龟,165.24
600177.SH,雅戈尔,服饰,2021-06-30,3050512.9592,4.4928,1.0929,7.5873,79.5,铜龟,305.05
601006.SH,大秦铁路,铁路,2021-06-30,9782348.8011,8.1868,0.8107,7.2948,78.7,银龟,978.23
600282.SH,南钢股份,普钢,2021-06-30,2192031.6431,6.5155,0.9864,6.9943,77.0,银龟,219.2
002244.SZ,滨江集团,区域地产,2021-06-30,1303694.9899,5.327,0.7213,5.3938,76.0,银龟,130.37
000090.SZ,天健集团,建筑工程,2021-06-30,1033305.625,7.2407,0.93,6.8716,75.4,银龟,103.33
600266.SH,城建发展,区域地产,2021-06-30,1069598.8224,5.8158,0.4937,4.2194,74.8,铜龟,106.96
600782.SH,新钢股份,普钢,2021-06-30,1779307.2644,5.6363,0.7561,5.2739,74.1,银龟,177.93
002233.SZ,塔牌集团,水泥,2021-06-30,1225658.7164,6.7698,1.1986,7.2753,71.6,铜龟,122.57
601668.SH,中国建筑,建筑工程,2021-06-30,19505898.0475,4.0313,0.6933,4.6172,71.6,铜龟,1950.59
600023.SH,浙能电力,火力发电,2021-06-30,4991453.2256,7.5855,0.7154,5.4496,71.3,银龟,499.15
000581.SZ,威孚高科,汽车配件,2021-06-30,2101644.0373,6.8139,1.1921,7.2007,71.2,铜龟,210.16
600507.SH,方大特钢,特种钢,2021-06-30,1461734.2512,6.0359,2.0091,16.2242,69.9,不达标,146.17
600801.SH,华新建材,水泥,2021-06-30,3683725.9452,6.1286,1.6688,12.9992,69.6,不达标,368.37
000690.SZ,宝新能源,火力发电,2021-06-30,1111878.6975,6.2262,1.0757,5.8708,67.8,铜龟,111.19
