ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600016.SH,民生银行,银行,2020-12-31,22766857.621,4.9907,0.4918,7.1154,94.1,金龟,2276.69
601328.SH,交通银行,银行,2020-12-31,33269701.537,4.7633,0.4685,7.0313,93.5,金龟,3326.97
002146.SZ,荣盛发展,全国地产,2020-12-31,2839350.9947,3.2873,0.6623,7.3507,90.8,金龟,283.94
601169.SH,北京银行,银行,2020-12-31,10233204.3876,5.1353,0.5222,6.3017,88.0,银龟,1023.32
600340.SH,华夏幸福,园区开发,2020-12-31,5060440.4022,4.1665,1.0423,8.9253,83.7,铜龟,506.04
600606.SH,绿地控股,全国地产,2020-12-31,7094034.0065,4.7383,0.8783,6.8611,81.1,银龟,709.4
600153.SH,建发股份,仓储物流,2020-12-31,2350976.6271,4.1503,0.7222,6.0298,80.2,银龟,235.1
600376.SH,首开股份,区域地产,2020-12-31,1514204.7971,8.6185,0.6073,6.8143,80.1,银龟,151.42
601003.SH,柳钢股份,普钢,2020-12-31,1330089.6708,6.3375,1.1646,8.6705,78.9,铜龟,133.01
600325.SH,华发股份,区域地产,2020-12-31,1314793.3815,4.6794,0.9528,6.4412,76.0,银龟,131.48
601006.SH,大秦铁路,铁路,2020-12-31,9603947.3032,9.163,0.8264,7.4303,75.9,银龟,960.39
000402.SZ,金融街,全国地产,2020-12-31,1927859.79,6.4779,0.5543,4.6512,74.5,铜龟,192.79
600282.SH,南钢股份,普钢,2020-12-31,1917324.1561,8.5684,0.8405,6.905,73.9,银龟,191.73
600188.SH,兖矿能源,煤炭开采,2020-12-31,4894020.0,6.6363,0.8693,5.7597,71.9,银龟,489.4
600782.SH,新钢股份,普钢,2020-12-31,1463623.7175,5.5147,0.645,4.3573,71.4,铜龟,146.36
000537.SZ,绿发电力,新型电力,2020-12-31,1167800.4914,4.5048,0.7755,4.7847,70.3,铜龟,116.78
000718.SZ,苏宁环球,区域地产,2020-12-31,1040880.2797,8.1741,1.2641,7.9169,69.3,不达标,104.09
601088.SH,中国神华,煤炭开采,2020-12-31,35821206.4395,9.0175,1.0001,6.9961,68.2,铜龟,3582.12
600023.SH,浙能电力,火力发电,2020-12-31,4937050.4656,8.4048,0.748,5.5096,67.9,银龟,493.71
600704.SH,物产中大,仓储物流,2020-12-31,2212173.5515,7.8046,0.9043,5.7208,66.7,银龟,221.22
000090.SZ,天健集团,建筑工程,2020-12-31,1109915.9878,4.7001,1.2944,6.3973,65.5,不达标,110.99
600027.SH,华电国际,火力发电,2020-12-31,3353412.062,7.4085,0.7105,4.2941,64.3,铜龟,335.34
600507.SH,方大特钢,特种钢,2020-12-31,1496229.4548,7.7485,1.7729,16.4494,64.2,不达标,149.62
601668.SH,中国建筑,建筑工程,2020-12-31,20856640.541,4.8461,0.7454,3.7223,64.1,不达标,2085.66
601390.SH,中国中铁,建筑工程,2020-12-31,12948879.7321,4.8937,0.6403,3.2068,63.8,不达标,1294.89
600064.SH,南京高科,园区开发,2020-12-31,1269327.724,5.8578,0.9754,4.3817,61.6,铜龟,126.93
600028.SH,中国石化,石油加工,2020-12-31,48791697.4873,12.9021,0.677,6.4516,61.4,不达标,4879.17
600373.SH,中文传媒,出版业,2020-12-31,1367259.2925,7.9597,0.9353,4.9554,60.1,铜龟,136.73
600985.SH,淮北矿业,煤炭开采,2020-12-31,2430979.8989,6.812,1.1767,5.3618,59.4,铜龟,243.1
000778.SZ,新兴铸管,钢加工,2020-12-31,1468643.9048,8.9829,0.6695,4.0732,58.8,铜龟,146.86
600755.SH,厦门国贸,仓储物流,2020-12-31,1300096.2619,5.4601,0.8624,3.273,57.6,不达标,130.01
002233.SZ,塔牌集团,水泥,2020-12-31,1518958.3704,7.3806,1.4952,6.7706,57.3,不达标,151.9
601000.SH,唐山港,港口,2020-12-31,1469630.2963,7.831,0.8165,3.629,55.3,不达标,146.96
300498.SZ,温氏股份,农业综合,2020-12-31,11618824.5803,7.2061,2.4835,6.2171,54.1,不达标,1161.88
601019.SH,山东出版,出版业,2020-12-31,1179098.5,9.8477,1.0858,5.6637,54.0,铜龟,117.91
600642.SH,申能股份,火力发电,2020-12-31,2564084.001,10.0081,0.8415,4.2146,51.2,铜龟,256.41
600801.SH,华新建材,水泥,2020-12-31,4325285.5009,7.8317,1.9612,5.8423,49.5,不达标,432.53
601992.SH,金隅集团,水泥,2020-12-31,3171298.0268,11.7737,0.6753,4.0404,49.1,铜龟,317.13
600350.SH,山东高速,路桥,2020-12-31,2973300.4996,13.1721,1.0626,6.1489,46.9,不达标,297.33
601098.SH,中南传媒,出版业,2020-12-31,1711588.0,12.5122,1.2616,6.5058,45.5,不达标,171.16
000685.SZ,中山公用,水务,2020-12-31,1224342.4213,8.9845,0.8881,3.012,45.2,不达标,122.43
600582.SH,天地科技,专用机械,2020-12-31,1274685.3787,10.9353,0.7247,3.2468,45.1,不达标,127.47
000581.SZ,威孚高科,汽车配件,2020-12-31,2339756.3718,8.4422,1.3199,4.6578,45.0,不达标,233.98
600177.SH,雅戈尔,服饰,2020-12-31,3328253.1376,5.1365,1.1983,2.7816,44.3,不达标,332.83
600643.SH,爱建集团,多元金融,2020-12-31,1219685.6839,9.2197,1.0701,3.3245,41.0,不达标,121.97
600901.SH,江苏金租,多元金融,2020-12-31,1645644.1324,9.1937,1.312,4.3557,40.7,不达标,164.56
002299.SZ,圣农发展,农业综合,2020-12-31,3301908.3631,10.3391,3.1401,5.6307,39.7,不达标,330.19
000883.SZ,湖北能源,水力发电,2020-12-31,2524890.4006,10.2231,0.8691,2.5773,38.7,不达标,252.49
600390.SH,五矿资本,多元金融,2020-12-31,3139649.6904,9.5598,0.8431,1.1318,37.8,不达标,313.96
603858.SH,步长制药,中成药,2020-12-31,2633626.4673,13.2163,1.9878,6.7783,37.8,不达标,263.36
