ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600016.SH,民生银行,银行,2024-12-31,18082138.8413,5.5243,0.3335,8.3777,100.0,金龟,1808.21
000001.SZ,平安银行,银行,2024-12-31,22704924.2917,4.8776,0.5461,8.2479,98.6,金龟,2270.49
601229.SH,上海银行,银行,2024-12-31,12999109.9665,5.7046,0.5846,8.0874,97.5,金龟,1299.91
600971.SH,恒源煤电,煤炭开采,2024-12-31,1129204.5958,8.3803,0.8959,9.0329,80.2,银龟,112.92
600985.SH,淮北矿业,煤炭开采,2024-12-31,3789415.0036,7.1427,0.9063,7.1073,78.1,银龟,378.94
601666.SH,平煤股份,煤炭开采,2024-12-31,2480096.5846,8.5225,1.0098,9.7801,76.3,铜龟,248.01
601668.SH,中国建筑,建筑工程,2024-12-31,24966193.4664,4.962,0.5582,4.5252,75.1,铜龟,2496.62
601717.SH,中创智领,专用机械,2024-12-31,2317449.1091,5.9954,1.0534,6.4721,73.2,铜龟,231.74
600153.SH,建发股份,仓储物流,2024-12-31,3100344.1515,11.3091,0.5623,6.7826,72.3,铜龟,310.03
601186.SH,中国铁建,建筑工程,2024-12-31,12452439.5555,5.5659,0.4812,3.8168,72.1,不达标,1245.24
600248.SH,陕建股份,建筑工程,2024-12-31,1687876.8641,4.3261,0.6945,4.4643,70.6,铜龟,168.79
000932.SZ,华菱钢铁,普钢,2024-12-31,2887808.3846,10.5219,0.5407,5.5024,67.1,铜龟,288.78
002091.SZ,江苏国泰,商贸代理,2024-12-31,1191414.7327,9.2267,0.7921,5.4645,63.6,银龟,119.14
601006.SH,大秦铁路,铁路,2024-12-31,12379043.0846,13.1387,0.8167,7.5034,63.4,不达标,1237.9
600177.SH,雅戈尔,服饰,2024-12-31,4114863.2928,12.6503,1.0217,7.8652,61.3,不达标,411.49
600704.SH,物产中大,仓储物流,2024-12-31,2627436.2657,8.1589,0.7182,4.1502,60.6,铜龟,262.74
000581.SZ,威孚高科,汽车配件,2024-12-31,1882310.1212,10.5004,0.9776,6.266,59.1,铜龟,188.23
601919.SH,中远海控,水运,2024-12-31,24739281.3618,6.1983,1.1546,4.8386,58.6,铜龟,2473.93
600064.SH,南京高科,园区开发,2024-12-31,1344473.9034,7.7784,0.7074,3.6036,58.5,不达标,134.45
600219.SH,南山铝业,铝,2024-12-31,4540945.3016,9.417,0.9373,5.1393,56.4,银龟,454.09
000933.SZ,神火股份,铝,2024-12-31,3801402.4616,7.1172,1.8137,6.5096,56.3,不达标,380.14
600741.SH,华域汽车,汽车配件,2024-12-31,5551946.9358,7.9918,0.9236,4.2589,55.7,铜龟,555.19
600282.SH,南钢股份,普钢,2024-12-31,2891427.6842,13.0617,1.1225,7.4627,54.2,不达标,289.14
601318.SH,中国平安,保险,2024-12-31,95876885.2059,8.1756,1.0759,4.5985,52.8,铜龟,9587.69
601598.SH,中国外运,仓储物流,2024-12-31,3902406.0281,10.0491,1.0421,5.3914,52.8,铜龟,390.24
600373.SH,中文传媒,出版业,2024-12-31,1760422.7703,12.2034,0.9509,5.9947,52.4,不达标,176.04
600295.SH,鄂尔多斯,特种钢,2024-12-31,2731605.6239,13.0574,1.3076,8.1967,52.2,不达标,273.16
601163.SH,三角轮胎,汽车配件,2024-12-31,1205600.0,9.8624,0.9116,4.4459,51.1,铜龟,120.56
600737.SH,中粮糖业,食品,2024-12-31,2183764.0408,12.1663,2.0633,8.1293,49.4,不达标,218.38
601857.SH,中国石油,石油开采,2024-12-31,163620754.1693,10.0994,1.0981,5.0336,48.6,铜龟,16362.08
600582.SH,天地科技,专用机械,2024-12-31,2557647.9353,9.9821,1.0656,4.5307,46.6,铜龟,255.76
600273.SH,嘉化能源,化工原料,2024-12-31,1108663.03,10.4713,1.1141,4.9299,46.2,铜龟,110.87
600008.SH,首创环保,水务,2024-12-31,2407713.7421,6.724,1.1209,3.0488,46.0,不达标,240.77
600997.SH,开滦股份,焦炭加工,2024-12-31,1073352.6993,14.3455,0.7541,5.0799,45.1,不达标,107.34
