ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600153.SH,建发股份,仓储物流,2023-12-29,2892920.6985,1.9125,0.5202,8.3104,99.4,金龟,289.29
601166.SH,兴业银行,银行,2023-12-29,33675124.3947,3.9836,0.4849,7.3288,95.5,金龟,3367.51
600755.SH,厦门国贸,仓储物流,2023-12-29,1536346.8163,4.8841,0.7228,9.3994,93.3,金龟,153.63
601009.SH,南京银行,银行,2023-12-29,7633674.9009,4.0775,0.5656,7.2344,92.9,金龟,763.37
601169.SH,北京银行,银行,2023-12-29,9577771.8752,3.7366,0.3903,6.8433,92.3,银龟,957.78
601919.SH,中远海控,水运,2023-12-29,15396073.3264,4.469,0.792,19.8986,91.2,金龟,1539.61
600064.SH,南京高科,园区开发,2023-12-29,1045125.145,4.7908,0.5946,6.9536,90.2,银龟,104.51
000002.SZ,万科Ａ,全国地产,2023-12-29,12479522.1067,6.5035,0.4934,6.4522,88.0,银龟,1247.95
600820.SH,隧道股份,建筑工程,2023-12-29,1810999.3501,6.1523,0.6636,6.4236,84.1,银龟,181.1
600971.SH,恒源煤电,煤炭开采,2023-12-29,1338005.4457,5.2702,1.0899,8.9686,82.3,铜龟,133.8
601668.SH,中国建筑,建筑工程,2023-12-29,20163286.4476,3.9466,0.4951,5.2555,81.7,银龟,2016.33
600177.SH,雅戈尔,服饰,2023-12-29,3031865.9473,8.499,0.8038,7.6248,80.1,银龟,303.19
000937.SZ,冀中能源,煤炭开采,2023-12-29,2522952.4509,5.7485,1.167,14.0056,80.0,铜龟,252.3
600655.SH,豫园股份,百货,2023-12-29,2419475.4005,4.6911,0.6654,5.6127,79.1,银龟,241.95
601699.SH,潞安环能,煤炭开采,2023-12-29,6554177.5572,5.3857,1.3443,13.0078,74.7,不达标,655.42
600057.SH,厦门象屿,仓储物流,2023-12-29,1521966.2206,9.254,1.0383,9.0909,73.0,铜龟,152.2
600048.SH,保利发展,全国地产,2023-12-29,11850738.9838,6.3901,0.6068,4.5455,72.5,铜龟,1185.07
600585.SH,海螺水泥,水泥,2023-12-29,11955226.6182,10.0344,0.6491,6.5603,72.5,铜龟,1195.52
601186.SH,中国铁建,建筑工程,2023-12-29,10334031.0815,3.7834,0.4223,3.6794,71.2,不达标,1033.4
601318.SH,中国平安,保险,2023-12-29,73387245.4662,7.7343,0.8281,5.9723,70.9,银龟,7338.72
600639.SH,浦东金桥,园区开发,2023-12-29,1134759.4348,5.2985,0.8107,4.9456,70.3,铜龟,113.48
000932.SZ,华菱钢铁,普钢,2023-12-29,3557945.737,6.6472,0.6801,4.6602,70.2,铜龟,355.79
600438.SH,通威股份,电气设备,2023-12-29,11268430.0039,5.5516,1.8093,11.4183,70.0,不达标,1126.84
002756.SZ,永兴材料,小金属,2023-12-29,2814649.1403,5.5171,2.2063,9.282,70.0,不达标,281.46
600256.SH,广汇能源,石油开采,2023-12-29,4687949.1692,6.0208,1.6271,11.0855,69.9,不达标,468.79
601857.SH,中国石油,石油开采,2023-12-29,129212810.3395,8.0376,0.9107,6.0907,68.2,银龟,12921.28
601006.SH,大秦铁路,铁路,2023-12-29,11082774.9637,9.6395,0.8363,6.5689,68.2,银龟,1108.28
600089.SH,特变电工,电气设备,2023-12-29,6972739.8317,4.9092,1.1719,6.212,67.9,铜龟,697.27
688303.SH,大全能源,电气设备,2023-12-29,6342580.8233,6.931,1.4846,12.1317,67.4,不达标,634.26
600997.SH,开滦股份,焦炭加工,2023-12-29,1211491.2863,11.8694,0.854,7.6016,67.2,铜龟,121.15
600741.SH,华域汽车,汽车配件,2023-12-29,5132634.646,7.2639,0.9294,5.4054,65.6,银龟,513.26
600273.SH,嘉化能源,化工原料,2023-12-29,1204270.9328,9.7271,1.2429,8.0812,65.3,不达标,120.43
600383.SH,金地集团,全国地产,2023-12-29,1968358.4374,6.9581,0.3061,3.1193,64.3,不达标,196.84
600028.SH,中国石化,石油加工,2023-12-29,66596882.4185,10.6371,0.8344,6.1024,61.9,铜龟,6659.69
601512.SH,中新集团,园区开发,2023-12-29,1155644.19,7.1977,0.8324,4.1764,60.5,铜龟,115.56
600373.SH,中文传媒,出版业,2023-12-29,1785973.9816,9.0522,1.0078,5.6904,59.2,铜龟,178.6
600295.SH,鄂尔多斯,特种钢,2023-12-29,2714812.9664,9.8814,1.2991,7.3638,58.8,不达标,271.48
600096.SH,云天化,农药化肥,2023-12-29,2861552.8453,6.2272,1.5782,6.4103,58.6,不达标,286.16
002244.SZ,滨江集团,区域地产,2023-12-29,2262019.708,5.4412,0.8963,3.4388,57.7,不达标,226.2
600325.SH,华发股份,区域地产,2023-12-29,1984301.6756,7.4378,0.8559,3.9477,57.5,不达标,198.43
600282.SH,南钢股份,普钢,2023-12-29,2281083.6741,13.0368,0.8763,6.7568,57.0,不达标,228.11
601336.SH,新华保险,保险,2023-12-29,9711148.5658,6.8514,0.8966,3.4693,55.1,不达标,971.11
601168.SH,西部矿业,铜,2023-12-29,3400541.0,10.464,2.2629,9.8108,55.1,不达标,340.05
000651.SZ,格力电器,家用电器,2023-12-29,18116232.2688,6.8897,1.6122,6.1976,55.0,不达标,1811.62
000933.SZ,神火股份,铝,2023-12-29,3779510.1271,6.4953,2.1179,5.9558,54.7,不达标,377.95
601601.SH,中国太保,保险,2023-12-29,22877171.98,8.3232,0.9591,4.2893,53.7,铜龟,2287.72
600901.SH,江苏金租,多元金融,2023-12-29,2054544.9773,7.8215,1.2166,5.165,53.5,不达标,205.45
600499.SH,科达制造,专用机械,2023-12-29,2055583.0251,7.7012,1.7828,6.3444,53.3,不达标,205.56
000408.SZ,藏格矿业,农药化肥,2023-12-29,4004822.475,8.9842,3.2316,6.9019,52.7,不达标,400.48
601298.SH,青岛港,港口,2023-12-29,4011499.8,8.2498,1.0217,4.3576,52.6,铜龟,401.15
