ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600153.SH,建发股份,仓储物流,2024-06-28,2682635.7048,2.0776,0.4885,16.8006,100.0,金龟,268.26
601077.SH,渝农商行,银行,2024-06-28,5701214.0,5.4425,0.4874,11.1534,100.0,金龟,570.12
601668.SH,中国建筑,建筑工程,2024-06-28,22100194.7478,4.0595,0.5235,9.907,99.3,金龟,2210.02
000932.SZ,华菱钢铁,普钢,2024-06-28,3060524.1971,6.4007,0.5884,10.6095,96.0,金龟,306.05
601288.SH,农业银行,银行,2024-06-28,152592602.7686,5.6898,0.6382,10.3922,95.9,金龟,15259.26
600919.SH,江苏银行,银行,2024-06-28,13635034.076,4.6105,0.6442,11.9107,95.7,金龟,1363.5
000002.SZ,万科Ａ,全国地产,2024-06-28,8267981.6634,7.9846,0.3299,9.7388,93.4,金龟,826.8
600064.SH,南京高科,园区开发,2024-06-28,1050316.1639,7.2709,0.5789,6.9193,86.2,银龟,105.03
600123.SH,兰花科创,煤炭开采,2024-06-28,1329182.4,9.1086,0.8486,8.3799,79.2,银龟,132.92
000719.SZ,中原传媒,出版业,2024-06-28,1034458.9902,7.8338,0.9826,7.913,78.8,银龟,103.45
600820.SH,隧道股份,建筑工程,2024-06-28,2053094.7494,6.9969,0.6993,5.6662,75.1,银龟,205.31
000937.SZ,冀中能源,煤炭开采,2024-06-28,2367476.3895,8.0274,1.1183,23.8806,74.7,铜龟,236.75
601666.SH,平煤股份,煤炭开采,2024-06-28,2773543.621,7.7109,1.2057,8.7454,73.1,不达标,277.35
000581.SZ,威孚高科,汽车配件,2024-06-28,1623093.685,8.2322,0.8592,6.5747,72.3,银龟,162.31
600755.SH,厦门国贸,仓储物流,2024-06-28,1580431.3735,9.966,0.7746,6.9735,71.7,银龟,158.04
600177.SH,雅戈尔,服饰,2024-06-28,3295707.7168,9.4341,0.8693,7.0143,70.9,银龟,329.57
603688.SH,石英股份,矿物制品,2024-06-28,1603909.4137,3.6647,2.8449,15.7505,70.0,不达标,160.39
000785.SZ,居然智家,百货,2024-06-28,1527811.0503,12.7704,0.7534,8.2066,69.8,不达标,152.78
600048.SH,保利发展,全国地产,2024-06-28,10486108.4342,9.0633,0.5379,5.137,69.6,银龟,1048.61
600901.SH,江苏金租,多元金融,2024-06-28,2206777.8815,8.1977,1.2787,11.1453,69.3,不达标,220.68
601186.SH,中国铁建,建筑工程,2024-06-28,11637667.0655,4.4395,0.4544,3.2672,68.4,不达标,1163.77
002756.SZ,永兴材料,小金属,2024-06-28,1928905.3101,6.5518,1.5827,8.3057,68.2,不达标,192.89
600057.SH,厦门象屿,仓储物流,2024-06-28,1545241.5628,10.7665,1.0567,13.3657,67.4,铜龟,154.52
600741.SH,华域汽车,汽车配件,2024-06-28,5164161.8858,7.3322,0.8768,5.3724,66.7,银龟,516.42
