ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600782.SH,新钢股份,普钢,2022-12-30,1304187.5827,5.279,0.4845,11.992,100.0,金龟,130.42
601328.SH,交通银行,银行,2022-12-30,35200532.4297,3.8638,0.4267,7.4895,96.6,金龟,3520.05
601077.SH,渝农商行,银行,2022-12-30,4009021.0,3.989,0.3766,7.153,94.4,金龟,400.9
601288.SH,农业银行,银行,2022-12-30,101845062.857,4.0418,0.466,7.1065,94.0,金龟,10184.51
601155.SH,新城控股,区域地产,2022-12-30,4624026.8548,4.5951,0.7548,10.0202,92.4,金龟,462.4
600177.SH,雅戈尔,服饰,2022-12-30,2930095.5819,5.2882,0.8006,7.8897,90.2,银龟,293.01
600585.SH,海螺水泥,水泥,2022-12-30,14509490.4613,6.2285,0.8033,8.6925,90.1,银龟,1450.95
600028.SH,中国石化,石油加工,2022-12-30,52274833.7337,7.6902,0.6707,10.8299,89.2,金龟,5227.48
601919.SH,中远海控,水运,2022-12-30,16561423.6918,1.3926,0.875,27.9355,88.8,银龟,1656.14
600282.SH,南钢股份,普钢,2022-12-30,1941538.067,7.1932,0.7467,9.5041,88.6,金龟,194.15
000401.SZ,金隅冀东,水泥,2022-12-30,2187709.7681,8.3383,0.7128,9.113,85.8,银龟,218.77
600755.SH,厦门国贸,仓储物流,2022-12-30,1571501.6885,5.4902,0.7761,7.0028,85.1,金龟,157.15
600997.SH,开滦股份,焦炭加工,2022-12-30,1076528.299,5.3096,0.7642,6.7847,84.0,银龟,107.65
600064.SH,南京高科,园区开发,2022-12-30,1143754.5047,5.0028,0.7081,6.4837,83.6,银龟,114.38
000932.SZ,华菱钢铁,普钢,2022-12-30,3247057.2745,4.6078,0.6665,6.1702,82.8,银龟,324.71
000937.SZ,冀中能源,煤炭开采,2022-12-30,2247335.7966,4.1949,1.0789,15.7233,82.6,铜龟,224.73
601598.SH,中国外运,仓储物流,2022-12-30,2824360.272,6.7618,0.8414,7.2691,82.3,银龟,282.44
601866.SH,中远海发,水运,2022-12-30,3287927.5068,5.6496,1.1312,9.3388,81.1,铜龟,328.79
600383.SH,金地集团,全国地产,2022-12-30,4618418.9942,4.8939,0.7231,6.1584,81.0,银龟,461.84
601006.SH,大秦铁路,铁路,2022-12-30,9931117.5766,7.7959,0.7957,7.1856,79.7,金龟,993.11
601857.SH,中国石油,石油开采,2022-12-30,90961425.9755,6.6248,0.6772,6.0121,79.3,银龟,9096.14
600623.SH,华谊集团,化工原料,2022-12-30,1347076.1459,8.3983,0.6236,6.6456,79.3,银龟,134.71
600373.SH,中文传媒,出版业,2022-12-30,1296795.9791,8.3875,0.7735,7.1055,77.9,银龟,129.68
000581.SZ,威孚高科,汽车配件,2022-12-30,1788253.6385,8.979,0.9355,8.9925,77.0,银龟,178.83
600012.SH,皖通高速,路桥,2022-12-30,1212443.91,7.5843,1.0407,7.5239,75.3,铜龟,121.24
600938.SH,中国海油,石油开采,2022-12-30,72301481.2557,5.7268,1.3421,10.6278,74.7,不达标,7230.15
