ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
002807.SZ,江阴银行,银行,2025-12-31,1124856.5046,5.1418,0.5951,6.5646,87.6,银龟,112.49
601577.SH,长沙银行,银行,2025-12-31,3900907.1414,4.7586,0.5586,6.3918,87.5,银龟,390.09
002839.SZ,张家港行,银行,2025-12-31,1117065.6531,5.6859,0.617,6.5646,86.9,银龟,111.71
601919.SH,中远海控,水运,2025-12-31,23513452.2478,6.1803,1.0517,10.4743,82.8,铜龟,2351.35
601668.SH,中国建筑,建筑工程,2025-12-31,21197360.2978,4.7457,0.4396,5.2924,81.9,银龟,2119.74
601390.SH,中国中铁,建筑工程,2025-12-31,13355280.5253,5.3836,0.4259,4.8141,78.8,铜龟,1335.53
600153.SH,建发股份,仓储物流,2025-12-31,2682073.1597,13.1719,0.4816,7.6917,74.0,不达标,268.21
601186.SH,中国铁建,建筑工程,2025-12-31,10415508.3305,4.8828,0.3817,3.9113,72.7,不达标,1041.55
600023.SH,浙能电力,火力发电,2025-12-31,6637322.7108,9.1137,0.8922,6.8687,70.3,银龟,663.73
000651.SZ,格力电器,家用电器,2025-12-31,22528853.8903,7.1103,1.5599,7.4373,62.5,不达标,2252.89
600269.SH,赣粤高速,路桥,2025-12-31,1212076.2403,6.9043,0.6095,3.2755,62.2,不达标,121.21
600098.SH,广州发展,火力发电,2025-12-31,2292835.6976,9.9523,0.8445,5.658,60.9,银龟,229.28
600582.SH,天地科技,专用机械,2025-12-31,2412797.324,8.6604,0.946,5.4374,60.7,银龟,241.28
600704.SH,物产中大,仓储物流,2025-12-31,2880347.1987,7.5823,0.7035,3.7702,60.4,不达标,288.03
600064.SH,南京高科,园区开发,2025-12-31,1501934.811,6.4593,0.7627,3.4562,60.3,不达标,150.19
600642.SH,申能股份,火力发电,2025-12-31,3807593.7545,9.5709,1.0367,5.7841,57.2,铜龟,380.76
603565.SH,中谷物流,水运,2025-12-31,2108463.3554,9.866,2.1342,12.1514,57.1,不达标,210.85
000719.SZ,中原传媒,出版业,2025-12-31,1203287.6088,9.4864,1.0343,5.102,53.0,铜龟,120.33
600177.SH,雅戈尔,服饰,2025-12-31,3513815.8455,13.4904,0.8277,6.0379,52.1,不达标,351.38
600219.SH,南山铝业,铝,2025-12-31,6178231.4387,12.0849,1.274,7.2447,51.5,不达标,617.82
001872.SZ,招商港口,港口,2025-12-31,4797305.84,10.4589,0.7585,3.8357,49.6,不达标,479.73
600483.SH,福能股份,新型电力,2025-12-31,2632790.4966,8.7498,1.0032,4.0444,49.4,铜龟,263.28
600741.SH,华域汽车,汽车配件,2025-12-31,6305447.968,9.1318,0.9742,4.0,48.7,铜龟,630.54
600585.SH,海螺水泥,水泥,2025-12-31,11584275.4377,13.1607,0.6085,4.3458,48.5,不达标,1158.43
600757.SH,长江传媒,出版业,2025-12-31,1077721.4424,9.6645,1.0896,4.6171,47.5,铜龟,107.77
600998.SH,九州通,医药商业,2025-12-31,2581744.7598,9.2647,0.9751,3.8628,47.3,不达标,258.17
002572.SZ,索菲亚,家居用品,2025-12-31,1310707.1902,11.5902,1.8192,7.3475,47.0,不达标,131.07
601001.SH,晋控煤业,煤炭开采,2025-12-31,2200915.5,11.3815,1.1707,5.7414,46.9,铜龟,220.09
600866.SH,星湖科技,饲料,2025-12-31,1154723.4681,9.0138,1.3899,5.4676,46.4,不达标,115.47
601107.SH,四川成渝,路桥,2025-12-31,1859300.48,11.3642,0.9791,4.7697,46.2,铜龟,185.93
600729.SH,重庆百货,百货,2025-12-31,1145178.0002,8.2815,1.4533,5.2393,45.4,不达标,114.52
002091.SZ,江苏国泰,商贸代理,2025-12-31,1469766.0158,12.7434,0.9516,5.2048,45.3,不达标,146.98
000623.SZ,吉林敖东,中成药,2025-12-31,2335583.6908,9.0958,0.77,2.5098,45.0,不达标,233.56
600461.SH,洪城环境,水务,2025-12-31,1190411.85,9.913,1.2335,5.0054,45.0,不达标,119.04
600008.SH,首创环保,水务,2025-12-31,2202177.2031,12.8713,1.0543,5.6667,44.9,不达标,220.22
600901.SH,江苏金租,多元金融,2025-12-31,3544622.2558,11.2119,1.4613,6.5363,44.0,不达标,354.46
601811.SH,新华文轩,出版业,2025-12-31,1655814.622,10.156,1.1224,4.4709,43.9,铜龟,165.58
002867.SZ,周大生,服饰,2025-12-31,1322107.2017,12.7513,2.2075,7.3892,43.4,不达标,132.21
600018.SH,上港集团,港口,2025-12-31,12617738.5932,8.7524,0.9011,2.6754,43.3,不达标,1261.77
000828.SZ,东莞控股,路桥,2025-12-31,1118520.2834,10.51,1.0996,4.4145,43.1,铜龟,111.85
601336.SH,新华保险,保险,2025-12-31,21743239.802,5.6614,2.2093,3.8164,42.1,不达标,2174.32
601000.SH,唐山港,港口,2025-12-31,2275556.5878,12.7446,1.0854,5.2083,41.3,不达标,227.56
601598.SH,中国外运,仓储物流,2025-12-31,4347293.2436,11.526,1.1361,4.7889,41.1,铜龟,434.73
000581.SZ,威孚高科,汽车配件,2025-12-31,1993512.099,12.9934,0.9984,4.8641,40.8,不达标,199.35
601225.SH,陕西煤业,煤炭开采,2025-12-31,20669740.0,10.8051,2.1889,5.9951,40.6,不达标,2066.97
600566.SH,济川药业,中成药,2025-12-31,2422796.1338,14.673,1.7504,7.9307,40.6,不达标,242.28
