ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
002146.SZ,荣盛发展,全国地产,2021-12-31,1891451.2752,3.0513,0.3783,8.046,100.0,金龟,189.15
601328.SH,交通银行,银行,2021-12-31,34235116.9833,3.8072,0.4449,6.8764,92.5,银龟,3423.51
600376.SH,首开股份,区域地产,2021-12-31,1460033.927,5.9269,0.559,7.0671,92.0,金龟,146.0
601169.SH,北京银行,银行,2021-12-31,9387485.0168,4.0646,0.4401,6.7568,91.7,银龟,938.75
000761.SZ,本钢板材,普钢,2021-12-31,1725426.0899,4.449,0.8106,11.4815,90.7,银龟,172.54
601988.SH,中国银行,银行,2021-12-31,89788276.3285,4.2618,0.4825,6.459,89.7,银龟,8978.83
600019.SH,宝钢股份,普钢,2021-12-31,15944182.6698,6.0376,0.8761,8.9533,88.6,银龟,1594.42
600325.SH,华发股份,区域地产,2021-12-31,1274530.9918,3.9829,0.8114,7.4752,87.2,银龟,127.45
600390.SH,五矿资本,多元金融,2021-12-31,2392970.8242,6.2687,0.6036,6.6165,86.8,银龟,239.3
601000.SH,唐山港,港口,2021-12-31,1629630.3689,7.2816,0.8986,12.7273,83.8,银龟,162.96
002110.SZ,三钢闽光,普钢,2021-12-31,1667071.8418,4.2308,0.7375,6.5569,83.3,银龟,166.71
600028.SH,中国石化,石油加工,2021-12-31,51213121.6803,7.3891,0.6657,6.8558,82.8,银龟,5121.31
601006.SH,大秦铁路,铁路,2021-12-31,9514814.0179,7.7683,0.7907,7.4999,82.1,金龟,951.48
000825.SZ,太钢不锈,特种钢,2021-12-31,4010158.4484,5.3744,1.1251,10.4972,81.2,铜龟,401.02
000402.SZ,金融街,全国地产,2021-12-31,1691734.3274,6.2583,0.4623,5.3004,81.1,银龟,169.17
600606.SH,绿地控股,全国地产,2021-12-31,5545027.9531,3.9268,0.5849,5.4861,80.7,银龟,554.5
600177.SH,雅戈尔,服饰,2021-12-31,3189383.0484,5.8731,0.9922,7.2569,80.3,银龟,318.94
600153.SH,建发股份,仓储物流,2021-12-31,2597124.2347,5.1185,0.6746,5.5129,78.2,银龟,259.71
600755.SH,厦门国贸,仓储物流,2021-12-31,1526837.2271,4.3534,0.825,5.8813,76.1,银龟,152.68
600350.SH,山东高速,路桥,2021-12-31,2482561.5822,8.9696,0.8744,7.3643,74.6,银龟,248.26
600064.SH,南京高科,园区开发,2021-12-31,1154383.7334,5.344,0.7878,5.3533,73.7,银龟,115.44
002244.SZ,滨江集团,区域地产,2021-12-31,1449932.8527,5.2461,0.76,4.8498,71.2,铜龟,144.99
601668.SH,中国建筑,建筑工程,2021-12-31,20974083.922,4.0618,0.6577,4.294,70.6,铜龟,2097.41
600507.SH,方大特钢,特种钢,2021-12-31,1681641.1739,6.0389,1.8968,14.1026,69.9,不达标,168.16
000581.SZ,威孚高科,汽车配件,2021-12-31,2172652.7138,8.1296,1.1464,6.9657,66.6,铜龟,217.27
601088.SH,中国神华,煤炭开采,2021-12-31,44743906.9387,9.6516,1.2204,8.0373,66.2,不达标,4474.39
601186.SH,中国铁建,建筑工程,2021-12-31,10592042.37,4.1724,0.5315,2.9487,65.4,不达标,1059.2
600985.SH,淮北矿业,煤炭开采,2021-12-31,2773798.1642,6.3951,1.0483,5.358,64.6,铜龟,277.38
000090.SZ,天健集团,建筑工程,2021-12-31,1096836.1698,7.2475,1.2143,6.4736,64.2,不达标,109.68
600901.SH,江苏金租,多元金融,2021-12-31,1520204.8337,7.4509,1.1088,5.8939,62.9,铜龟,152.02
600997.SH,开滦股份,焦炭加工,2021-12-31,1130513.4939,6.0094,0.8502,3.9326,62.3,不达标,113.05
601019.SH,山东出版,出版业,2021-12-31,1283443.5,7.2876,1.0761,5.2033,59.8,铜龟,128.34
601225.SH,陕西煤业,煤炭开采,2021-12-31,11827900.0,6.6971,1.5085,6.5574,58.1,不达标,1182.79
600585.SH,海螺水泥,水泥,2021-12-31,21356189.3934,6.5108,1.237,5.2605,57.9,不达标,2135.62
000651.SZ,格力电器,家用电器,2021-12-31,21901278.8551,9.0797,2.5382,7.6491,57.4,不达标,2190.13
000778.SZ,新兴铸管,钢加工,2021-12-31,1728051.1162,7.5706,0.7371,3.4618,57.4,不达标,172.81
600548.SH,深高速,路桥,2021-12-31,2176408.7853,6.4922,1.0917,4.3086,56.0,铜龟,217.64
600643.SH,爱建集团,多元金融,2021-12-31,1096419.5776,7.3941,0.8851,3.823,56.0,不达标,109.64
600373.SH,中文传媒,出版业,2021-12-31,1674858.7567,7.4548,1.039,4.4498,55.3,铜龟,167.49
601857.SH,中国石油,石油开采,2021-12-31,89863300.1086,10.6904,0.7213,4.4363,54.0,铜龟,8986.33
002048.SZ,宁波华翔,汽车配件,2021-12-31,1354529.6802,11.4386,1.5666,17.1059,51.9,不达标,135.45
600729.SH,重庆百货,百货,2021-12-31,1057787.0659,11.5276,1.9525,13.9477,51.6,不达标,105.78
601318.SH,中国平安,保险,2021-12-31,92150696.9478,7.5722,1.1874,4.4845,50.7,铜龟,9215.07
002233.SZ,塔牌集团,水泥,2021-12-31,1261426.9669,7.3476,1.1249,4.0543,50.5,铜龟,126.14
601216.SH,君正集团,化工原料,2021-12-31,4413083.095,7.4043,2.0598,5.7361,50.2,不达标,441.31
000157.SZ,中联重科,工程机械,2021-12-31,6222120.4332,8.4712,1.1047,4.4606,50.0,铜龟,622.21
002081.SZ,金螳螂,装修装饰,2021-12-31,1624176.9629,7.8547,0.9259,3.2711,49.5,不达标,162.42
601298.SH,青岛港,港口,2021-12-31,3693435.9,9.3025,1.0741,4.6081,49.2,铜龟,369.34
601098.SH,中南传媒,出版业,2021-12-31,1718772.0,11.9574,1.2386,6.5831,48.5,不达标,171.88
600012.SH,皖通高速,路桥,2021-12-31,1174295.88,7.6957,0.9799,3.2486,48.3,不达标,117.43
