ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600016.SH,民生银行,银行,2025-06-30,20796648.7885,6.5798,0.3732,7.2842,93.3,金龟,2079.66
601818.SH,光大银行,银行,2025-06-30,24520503.6903,5.8754,0.5093,6.6747,90.9,银龟,2452.05
601169.SH,北京银行,银行,2025-06-30,14440658.2578,5.6323,0.5278,6.4422,88.8,银龟,1444.07
601919.SH,中远海控,水运,2025-06-30,23296591.1275,4.311,1.0307,10.3472,84.1,铜龟,2329.66
600248.SH,陕建股份,建筑工程,2025-06-30,1424839.144,5.0446,0.5671,5.2884,79.9,银龟,142.48
601668.SH,中国建筑,建筑工程,2025-06-30,23841865.2862,5.1518,0.5092,4.7386,78.0,铜龟,2384.19
601800.SH,中国交建,建筑工程,2025-06-30,14471685.5568,6.3723,0.5015,4.8663,77.8,铜龟,1447.17
600985.SH,淮北矿业,煤炭开采,2025-06-30,3054155.376,7.7179,0.7443,6.6138,77.7,银龟,305.42
600153.SH,建发股份,仓储物流,2025-06-30,3006821.4774,10.2765,0.5469,6.861,76.7,铜龟,300.68
601898.SH,中煤能源,煤炭开采,2025-06-30,14504977.7596,7.9127,0.9303,7.0932,74.7,银龟,1450.5
601666.SH,平煤股份,煤炭开采,2025-06-30,1834087.1578,10.416,0.8131,7.6895,73.8,铜龟,183.41
000685.SZ,中山公用,水务,2025-06-30,1295147.7662,9.8444,0.7509,6.2329,67.9,银龟,129.51
600008.SH,首创环保,水务,2025-06-30,2216858.3845,6.2174,1.1146,5.6291,65.0,铜龟,221.69
600582.SH,天地科技,专用机械,2025-06-30,2479014.7463,7.3649,1.009,5.2922,62.1,铜龟,247.9
601598.SH,中国外运,仓储物流,2025-06-30,3596048.9194,9.5642,0.898,5.8507,61.9,银龟,359.6
600064.SH,南京高科,园区开发,2025-06-30,1334091.8655,7.053,0.6917,3.6316,61.6,不达标,133.41
000651.SZ,格力电器,家用电器,2025-06-30,25161514.5886,7.5303,1.8286,7.4429,61.2,不达标,2516.15
600704.SH,物产中大,仓储物流,2025-06-30,2736016.8303,8.4572,0.6636,3.9855,60.1,不达标,273.6
002091.SZ,江苏国泰,商贸代理,2025-06-30,1183287.857,10.4244,0.7877,5.5021,60.0,铜龟,118.33
600177.SH,雅戈尔,服饰,2025-06-30,3375112.5885,12.7656,0.8329,6.8493,59.8,不达标,337.51
600219.SH,南山铝业,铝,2025-06-30,4448035.9348,7.8275,0.8753,4.4367,58.9,铜龟,444.8
000623.SZ,吉林敖东,中成药,2025-06-30,2027042.681,10.5325,0.6889,4.7198,57.4,铜龟,202.7
603565.SH,中谷物流,水运,2025-06-30,2005560.2634,10.0597,2.0182,8.2723,56.5,不达标,200.56
600741.SH,华域汽车,汽车配件,2025-06-30,5564557.8318,8.3075,0.8777,4.2493,56.0,铜龟,556.46
601857.SH,中国石油,石油开采,2025-06-30,156482936.0344,9.4379,1.0302,5.4971,55.9,铜龟,15648.29
000543.SZ,皖能电力,火力发电,2025-06-30,1586804.3317,7.7231,1.0294,4.5571,55.4,铜龟,158.68
