ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
601229.SH,上海银行,银行,2023-06-30,8168833.287,3.6354,0.4078,13.913,100.0,金龟,816.88
600383.SH,金地集团,全国地产,2023-06-30,3255014.7554,5.435,0.4981,8.7379,100.0,金龟,325.5
601166.SH,兴业银行,银行,2023-06-30,32511743.3876,3.6565,0.4936,7.5911,97.3,金龟,3251.17
601077.SH,渝农商行,银行,2023-06-30,4077163.0,3.8436,0.3771,7.5599,97.1,金龟,407.72
600123.SH,兰花科创,煤炭开采,2023-06-30,1214828.16,3.8914,0.7984,9.4038,91.0,金龟,121.48
600755.SH,厦门国贸,仓储物流,2023-06-30,1719564.8067,4.7433,0.8459,8.3979,89.6,银龟,171.96
601919.SH,中远海控,水运,2023-06-30,15200038.7017,1.7059,0.8544,35.9635,89.4,银龟,1520.0
601666.SH,平煤股份,煤炭开采,2023-06-30,1745672.8301,3.3309,0.8538,11.5385,89.4,银龟,174.57
600985.SH,淮北矿业,煤炭开采,2023-06-30,2858155.3394,3.811,0.8631,9.1146,89.1,银龟,285.82
600177.SH,雅戈尔,服饰,2023-06-30,2920806.226,7.6514,0.7848,7.9148,85.4,金龟,292.08
600064.SH,南京高科,园区开发,2023-06-30,1143754.5047,4.8153,0.6644,6.4837,85.0,银龟,114.38
000002.SZ,万科Ａ,全国地产,2023-06-30,16726854.6783,7.39,0.6799,6.9101,82.7,银龟,1672.69
600048.SH,保利发展,全国地产,2023-06-30,15597487.7737,8.4142,0.8451,7.9048,81.0,银龟,1559.75
601598.SH,中国外运,仓储物流,2023-06-30,3399105.0638,8.3997,0.9679,8.1359,78.0,银龟,339.91
600153.SH,建发股份,仓储物流,2023-06-30,3278641.5937,5.4022,0.7055,5.5019,77.2,银龟,327.86
600295.SH,鄂尔多斯,特种钢,2023-06-30,2510502.2998,5.7079,1.2923,7.9631,76.0,不达标,251.05
002432.SZ,九安医疗,医疗保健,2023-06-30,1706258.1922,7.3552,0.9063,6.9009,76.0,银龟,170.63
601601.SH,中国太保,保险,2023-06-30,24993647.1001,8.1153,1.0474,7.7752,75.0,铜龟,2499.36
601211.SH,国泰海通,证券,2023-06-30,12457439.1348,10.3564,0.889,8.6504,73.8,铜龟,1245.74
600938.SH,中国海油,石油开采,2023-06-30,86190976.339,6.178,1.3774,8.9152,73.1,不达标,8619.1
000932.SZ,华菱钢铁,普钢,2023-06-30,3295417.702,6.6499,0.6737,5.0314,72.8,银龟,329.54
601668.SH,中国建筑,建筑工程,2023-06-30,24070364.4525,4.5612,0.6348,4.4024,72.0,铜龟,2407.04
600585.SH,海螺水泥,水泥,2023-06-30,12580544.3225,9.4689,0.7057,6.2342,70.5,银龟,1258.05
002030.SZ,达安基因,医疗保健,2023-06-30,1399235.6939,3.7125,1.5755,17.5527,70.0,不达标,139.92
600256.SH,广汇能源,石油开采,2023-06-30,4504108.0254,3.7127,1.686,11.538,70.0,不达标,450.41
688303.SH,大全能源,电气设备,2023-06-30,8645767.6897,4.8791,2.1152,8.8999,70.0,不达标,864.58
600438.SH,通威股份,电气设备,2023-06-30,15446242.6938,5.3019,2.8314,8.3299,70.0,不达标,1544.62
600596.SH,新安股份,化工原料,2023-06-30,1252300.9682,6.8232,1.1591,6.8618,69.9,铜龟,125.23
000408.SZ,藏格矿业,农药化肥,2023-06-30,3567041.9598,6.1915,3.549,12.6361,69.4,不达标,356.7
000830.SZ,鲁西化工,化工原料,2023-06-30,2030241.3236,9.4112,1.1472,18.9108,69.2,铜龟,203.02
600655.SH,豫园股份,百货,2023-06-30,2675352.607,6.9893,0.772,5.0759,69.0,银龟,267.54
