ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
600376.SH,首开股份,区域地产,2020-06-30,1511625.2318,5.5786,0.5239,13.6519,99.3,金龟,151.16
600348.SH,华阳股份,煤炭开采,2020-06-30,1014910.0,6.5509,0.4524,13.2701,98.2,金龟,101.49
600919.SH,江苏银行,银行,2020-06-30,6545736.5843,4.334,0.5847,10.8994,97.5,金龟,654.57
601398.SH,工商银行,银行,2020-06-30,177490316.0303,5.6398,0.6958,10.3092,94.1,金龟,17749.03
600015.SH,华夏银行,银行,2020-06-30,9416981.0776,4.2532,0.4505,6.9118,92.7,银龟,941.7
600188.SH,兖矿能源,煤炭开采,2020-06-30,4257360.0,5.398,0.8174,11.4155,90.5,银龟,425.74
002128.SZ,电投能源,煤炭开采,2020-06-30,1489219.4571,5.6179,0.9007,10.3226,88.0,银龟,148.92
600282.SH,南钢股份,普钢,2020-06-30,1432505.7613,6.4218,0.9024,9.2419,86.5,银龟,143.25
601800.SH,中国交建,建筑工程,2020-06-30,11872255.802,6.411,0.5606,6.3151,85.6,银龟,1187.23
601003.SH,柳钢股份,普钢,2020-06-30,1135317.3876,5.3362,1.0963,10.158,82.1,铜龟,113.53
000932.SZ,华菱钢铁,普钢,2020-06-30,2310662.1085,5.2122,0.8299,6.6313,81.0,银龟,231.07
600295.SH,鄂尔多斯,特种钢,2020-06-30,1006702.6836,8.0954,0.8301,7.6588,80.8,银龟,100.67
600153.SH,建发股份,仓储物流,2020-06-30,2296512.4293,4.0262,0.7383,6.1728,80.7,银龟,229.65
600104.SH,上汽集团,汽车整车,2020-06-30,19850200.8591,10.7453,0.8305,12.5956,74.3,铜龟,1985.02
002146.SZ,荣盛发展,全国地产,2020-06-30,3522012.7193,3.8198,0.8456,5.5556,73.3,银龟,352.2
000402.SZ,金融街,全国地产,2020-06-30,1984649.4582,6.6255,0.5682,4.5181,72.7,铜龟,198.46
000069.SZ,华侨城Ａ,全国地产,2020-06-30,4970718.8875,4.1491,0.7622,4.9505,71.8,铜龟,497.07
